player_name,home_score,time_in_period,period,date,game_id,player_id,home_team,team,goal_type,away_team,away_score
D. Severson,1,05:43,3,2024-10-30,2024020155,8476923,CBJ,CBJ,none,NYI,0
J. Danforth,2,17:57,3,2024-10-30,2024020155,8479941,CBJ,CBJ,empty-net,NYI,0
G. Vilardi,0,02:48,1,2024-10-30,2024020156,8480014,DET,WPG,none,WPG,1
N. Pionk,0,04:02,1,2024-10-30,2024020156,8480145,DET,WPG,none,WPG,2
K. Connor,0,15:44,1,2024-10-30,2024020156,8478398,DET,WPG,none,WPG,3
D. Larkin,1,08:13,2,2024-10-30,2024020156,8477946,DET,DET,none,WPG,3
A. DeBrincat,2,17:40,2,2024-10-30,2024020156,8479337,DET,DET,none,WPG,3
N. Niederreiter,2,00:10,3,2024-10-30,2024020156,8475799,DET,WPG,none,WPG,4
N. Pionk,2,07:19,3,2024-10-30,2024020156,8480145,DET,WPG,none,WPG,5
C. Miller,2,10:25,3,2024-10-30,2024020156,8476525,DET,WPG,none,WPG,6
N. Kucherov,0,01:01,1,2024-10-30,2024020157,8476453,COL,TBL,none,TBL,1
J. Guentzel,0,03:36,1,2024-10-30,2024020157,8477404,COL,TBL,none,TBL,2
C. Geekie,0,05:32,1,2024-10-30,2024020157,8483447,COL,TBL,none,TBL,3
I. Ivan,1,14:56,1,2024-10-30,2024020157,8483930,COL,COL,none,TBL,3
J. Guentzel,1,06:28,2,2024-10-30,2024020157,8477404,COL,TBL,none,TBL,4
C. Makar,2,10:57,3,2024-10-30,2024020157,8480069,COL,COL,none,TBL,4
A. Cirelli,2,18:40,3,2024-10-30,2024020157,8478519,COL,TBL,empty-net,TBL,5
A. Kerfoot,1,04:41,1,2024-10-30,2024020158,8477021,UTA,UTA,none,CGY,0
B. Hayton,2,19:58,1,2024-10-30,2024020158,8480849,UTA,UTA,none,CGY,0
A. Mantha,2,03:53,2,2024-10-30,2024020158,8477511,UTA,CGY,none,CGY,1
M. Lamoureux,3,04:10,2,2024-10-30,2024020158,8483472,UTA,UTA,none,CGY,1
M. Sergachev,4,16:32,2,2024-10-30,2024020158,8479410,UTA,UTA,none,CGY,1
C. Keller,5,05:13,3,2024-10-30,2024020158,8479343,UTA,UTA,none,CGY,1
W. Foegele,1,13:58,1,2024-10-30,2024020160,8477998,LAK,LAK,none,VGK,0
A. Kempe,2,14:40,1,2024-10-30,2024020160,8477960,LAK,LAK,none,VGK,0
A. Laferriere,3,10:11,2,2024-10-30,2024020160,8482155,LAK,LAK,none,VGK,0
A. Kopitar,4,10:55,2,2024-10-30,2024020160,8471685,LAK,LAK,none,VGK,0
T. Pearson,4,14:58,2,2024-10-30,2024020160,8476871,LAK,VGK,none,VGK,1
K. Fiala,5,06:23,3,2024-10-30,2024020160,8477942,LAK,LAK,none,VGK,1
J. Edmundson,6,08:03,3,2024-10-30,2024020160,8476441,LAK,LAK,none,VGK,1
P. Dorofeyev,6,11:04,3,2024-10-30,2024020160,8481604,LAK,VGK,none,VGK,2
P. Dorofeyev,6,17:03,3,2024-10-30,2024020160,8481604,LAK,VGK,none,VGK,3
N. Hischier,0,00:53,1,2024-10-30,2024020159,8480002,VAN,NJD,none,NJD,1
D. Mercer,0,01:35,2,2024-10-30,2024020159,8482110,VAN,NJD,none,NJD,2
T. Meier,0,03:07,2,2024-10-30,2024020159,8478414,VAN,NJD,none,NJD,3
O. Palat,0,14:04,2,2024-10-30,2024020159,8476292,VAN,NJD,none,NJD,4
J. Hughes,0,09:22,3,2024-10-30,2024020159,8481559,VAN,NJD,none,NJD,5
T. Tatar,0,14:06,3,2024-10-30,2024020159,8475193,VAN,NJD,none,NJD,6
